深度,Permeability_unified
3166.5,0.27643961555530133
3166.625,0.2701085211749707
3166.75,0.2753900919001454
3166.875,0.24106234874664997
3167.0,0.3057048850109792
3167.125,0.377495334066408
3167.25,0.38235626639829834
3167.375,0.38235626639829834
3167.5,0.3799837195540087
3167.625,0.4194847651342462
3167.75,0.3631545889636304
3167.875,0.44135953196424327
3168.0,0.4663059708742356
3168.125,0.45358287969466615
3168.25,0.4464249086795429
3168.375,0.44442255420927523
3168.5,0.44735211262882985
3168.625,0.43439445704965396
3168.75,0.4305064078920637
3168.875,0.3907774469399584
3169.0,0.3797210136677318
3169.125,0.4164495844423921
3169.25,0.3539796439533251
3169.375,0.26146975274185696
3169.5,0.35214830522314333
3169.625,0.37775650014026674
3169.75,0.3287304810586562
3169.875,0.2590398752967188
3170.0,0.37166659727561374
3170.125,0.39828076987750693
3170.25,0.35336814194475363
3170.375,0.3739872135734096
3170.5,0.3635315210150718
3170.625,0.3558205065162071
3170.75,0.22659344227498393
3170.875,0.18236223450331496
3171.0,0.10848407722491374
3171.125,0.06750257926782999
3171.25,0.058599936239762056
3171.375,0.04796710236419658
3171.5,0.04616083025617612
3171.625,0.049074434088087975
3171.75,0.06860863548560137
3171.875,0.0684427622599018
3172.0,0.14424923592931918
3172.125,0.20236658067206847
3172.25,0.20804300403999104
3172.375,0.31092894348177735
3172.5,0.36504316560576644
3172.625,0.455468977782138
3172.75,0.5073581723574466
3172.875,0.5049078859224305
3173.0,0.5115863603216363
3173.125,0.46711291129684773
3173.25,0.354960248987863
3173.375,0.3634058335477201
3173.5,0.4073342936066177
3173.625,0.40874529380722247
3173.75,0.4206468344216452
3173.875,0.3243269164636974
3174.0,0.4852232083764305
3174.125,0.5283060777848813
3174.25,0.4611744595106251
3174.375,0.41847058826522443
3174.5,0.4312513973290858
3174.625,0.3764524741232011
3174.75,0.3320436408175997
3174.875,0.3322733616278889
3175.0,0.3341168588310266
3175.125,0.40480675639120656
3175.25,0.47756592275806314
3175.375,0.49917892994574115
3175.5,0.485726840121419
3175.625,0.498316595279009
3175.75,0.5016014141152194
3175.875,0.5476514303289194
3176.0,0.5382639259344454
3176.125,0.5358496449269928
3176.25,0.4969399572934382
3176.375,0.26750584284900536
3176.5,0.36277804773874206
3176.625,0.4229806395120257
3176.75,0.4241523931755566
3176.875,0.3629035180802218
3177.0,0.4177476777543418
3177.125,0.48757796630077455
3177.25,0.5626239180228728
3177.375,0.4759173518190874
3177.5,0.42635818742076625
3177.625,0.4419704428774419
3177.75,0.4682449743931398
3177.875,0.43559782961311827
3178.0,0.4357484853894809
3178.125,0.42813107920718824
3178.25,0.4150119888147659
3178.375,0.42991134307037343
3178.5,0.4259161127808984
3178.625,0.39498903638307703
3178.75,0.3710245409465696
3178.875,0.4308042491053819
3179.0,0.41158197419319237
3179.125,0.3710245409465696
3179.25,0.3831504027319714
3179.375,0.404247214753974
3179.5,0.45831284037492825
3179.625,0.43424426941534483
3179.75,0.41977498114294093
3179.875,0.421374761910333
3180.0,0.3905072786926033
3180.125,0.31017721906030127
3180.25,0.15581291247361762
3180.375,0.3558205065162071
3180.5,0.30846580935228685
3180.625,0.2059671332074168
3180.75,0.35056881062180856
3180.875,0.20083289789239586
3181.0,0.3708962628408731
3181.125,0.4020167717515392
3181.25,0.4194847651342462
3181.375,0.421374761910333
3181.5,0.40480675639120656
3181.625,0.35791839322266
3181.75,0.4308042491053819
3181.875,0.37710392346662863
3182.0,0.35779464643933534
3182.125,0.25301976508044727
3182.25,0.333539669905723
3182.375,0.37450487061630144
3182.5,0.3870120418834927
3182.625,0.3978678076473806
3182.75,0.3890246886315691
3182.875,0.39253810233503
3183.0,0.41329342321191653
3183.125,0.41016118169245736
3183.25,0.3494794663772332
3183.375,0.33469504657921545
3183.5,0.36719542830671037
3183.625,0.42503333813719646
3183.75,0.3896978941366631
3183.875,0.3956725631656066
3184.0,0.3405322410653899
3184.125,0.3520265533913022
3184.25,0.37788715092623426
3184.375,0.40187777838520566
3184.5,0.43907612720177164
3184.625,0.26437913980734856
3184.75,0.34875511807916576
3184.875,0.40326987729467734
3185.0,0.3528797010144386
3185.125,0.390237297229011
3185.25,0.36516941936044905
3185.375,0.3534903577781378
3185.5,0.279418933260684
3185.625,0.39676866717637843
3185.75,0.3655484426814982
3185.875,0.4424291809211651
3186.0,0.39430669039726157
3186.125,0.43184831699634213
3186.25,0.38848696165996077
3186.375,0.18982598964086828
3186.5,0.28116357250238777
3186.625,0.2226323171169477
3186.75,0.3233191152871356
3186.875,0.20646630114928732
3187.0,0.2769179930888007
3187.125,0.39952223012376564
3187.25,0.3195400469481884
3187.375,0.3528797010144386
3187.5,0.36277804773874206
3187.625,0.3721810422210682
3187.75,0.36719542830671037
3187.875,0.36542205788320986
3188.0,0.4093110614923437
3188.125,0.44442255420927523
3188.25,0.42694833411697075
3188.375,0.4244458384323498
3188.5,0.36936038056102843
3188.625,0.1942081667995476
3188.75,0.4675977456711355
3188.875,0.43214708659499534
3189.0,0.4618127973957269
3189.125,0.4537397557767762
3189.25,0.4812129080855612
3189.375,0.40874529380722247
3189.5,0.43559782961311827
3189.625,0.4393798972829304
3189.75,0.4442688994584673
3189.875,0.4419704428774419
3190.0,0.4581543831935522
3190.125,0.4640539460577415
3190.25,0.4787233190623102
3190.375,0.4705173380083837
3190.5,0.4832138979514436
3190.625,0.5203286382184616
3190.75,0.3719237308008133
3190.875,0.355451569723349
3191.0,0.3287304810586562
3191.125,0.3708962628408731
3191.25,0.3470708051390565
3191.375,0.27634403926233564
3191.5,0.36202613614811335
3191.625,0.4595824723618011
3191.75,0.4627719612802937
3191.875,0.4570467158442333
3192.0,0.4431948026642428
3192.125,0.43907612720177164
3192.25,0.3470708051390565
3192.375,0.28935028370893073
3192.5,0.2464568206898905
3192.625,0.2625570018922441
3192.75,0.39104780210030027
3192.875,0.3803781192044015
3193.0,0.2709504623797082
3193.125,0.24808142242819184
3193.25,0.17326402869904997
3193.375,0.22217087844740258
3193.5,0.27349206496707856
3193.625,0.35081134787094786
3193.75,0.36846738804870627
3193.875,0.3470708051390565
3194.0,0.3217576455296103
3194.125,0.4777310936105471
3194.25,0.5208687072331123
3194.375,0.5431251697287891
3194.5,0.47165765184181263
3194.625,0.43394404990648955
3194.75,0.24535138524701597
3194.875,0.36580134342745413
3195.0,0.3417118399059426
3195.125,0.3214240272258718
3195.25,0.36215134643360397
3195.375,0.343370146122484
3195.5,0.3172280159487769
3195.625,0.33783459389312137
3195.75,0.20334865304872687
3195.875,0.18312053706966258
3196.0,0.15864001972088335
3196.125,0.19114337645784157
3196.25,0.1788029584107062
