深度	RXO2	RT2	AC2	CNL2	DEN2	CAL2	GR2	RM	GS	AM	M
2984	0.393	0.365	0.309	0.154	0.775	0.261	0.184	0.454	0.038	0.175	-0.015
2984.125	0.397	0.371	0.299	0.153	0.777	0.271	0.18	0.454	0.038	0.175	-0.015
2984.25	0.403	0.378	0.266	0.15	0.778	0.29	0.18	0.454	0.038	0.175	-0.015
2984.375	0.415	0.39	0.217	0.143	0.786	0.328	0.187	0.454	0.038	0.175	-0.015
2984.5	0.426	0.403	0.19	0.136	0.791	0.363	0.193	0.454	0.038	0.175	-0.015
2984.625	0.436	0.413	0.171	0.127	0.795	0.396	0.19	0.454	0.038	0.175	-0.015
2984.75	0.441	0.42	0.149	0.117	0.795	0.427	0.174	0.454	0.038	0.175	-0.015
2984.875	0.436	0.418	0.156	0.114	0.791	0.438	0.158	0.454	0.038	0.175	-0.015
2985	0.42	0.405	0.181	0.125	0.786	0.442	0.146	0.454	0.038	0.175	-0.015
2985.125	0.389	0.378	0.213	0.155	0.778	0.452	0.14	0.454	0.038	0.175	-0.015
2985.25	0.363	0.355	0.23	0.185	0.775	0.463	0.143	0.454	0.038	0.175	-0.015
2985.375	0.347	0.341	0.246	0.204	0.771	0.471	0.148	0.454	0.038	0.175	-0.015
2985.5	0.339	0.334	0.277	0.214	0.769	0.478	0.152	0.454	0.038	0.175	-0.015
2985.625	0.342	0.337	0.301	0.217	0.769	0.496	0.156	0.454	0.038	0.175	-0.015
2985.75	0.353	0.347	0.318	0.225	0.771	0.535	0.165	0.454	0.038	0.175	-0.015
2985.875	0.362	0.355	0.335	0.232	0.773	0.571	0.175	0.454	0.038	0.175	-0.015
2986	0.374	0.365	0.344	0.235	0.768	0.593	0.181	0.454	0.038	0.175	-0.015
2986.125	0.39	0.379	0.354	0.235	0.759	0.601	0.176	0.454	0.038	0.175	-0.015
2986.25	0.402	0.39	0.368	0.23	0.755	0.594	0.164	0.454	0.038	0.175	-0.015
2986.375	0.409	0.398	0.369	0.218	0.755	0.58	0.148	0.454	0.038	0.175	-0.015
2986.5	0.41	0.401	0.354	0.197	0.757	0.553	0.135	0.454	0.038	0.175	-0.015
2986.625	0.406	0.399	0.344	0.181	0.759	0.526	0.134	0.454	0.038	0.175	-0.015
2986.75	0.401	0.397	0.331	0.173	0.757	0.494	0.14	0.454	0.038	0.175	-0.015
2986.875	0.4	0.4	0.308	0.166	0.75	0.456	0.147	0.454	0.038	0.175	-0.015
2987	0.405	0.407	0.286	0.16	0.742	0.433	0.15	0.454	0.038	0.175	-0.015
2987.125	0.416	0.419	0.267	0.148	0.739	0.414	0.151	0.454	0.038	0.175	-0.015
2987.25	0.428	0.433	0.249	0.134	0.735	0.398	0.153	0.454	0.038	0.175	-0.015
2987.375	0.44	0.444	0.241	0.127	0.737	0.388	0.152	0.454	0.038	0.175	-0.015
2987.5	0.452	0.456	0.234	0.124	0.742	0.382	0.143	0.454	0.038	0.175	-0.015
2987.625	0.457	0.461	0.223	0.124	0.748	0.379	0.131	0.454	0.038	0.175	-0.015
2987.75	0.458	0.462	0.215	0.12	0.75	0.378	0.118	0.454	0.038	0.175	-0.015
2987.875	0.454	0.458	0.212	0.115	0.742	0.376	0.112	0.531	0.023	0.158	0.019
2988	0.447	0.451	0.213	0.115	0.732	0.373	0.117	0.531	0.023	0.158	0.019
2988.125	0.436	0.44	0.219	0.116	0.724	0.365	0.127	0.531	0.023	0.158	0.019
2988.25	0.419	0.423	0.233	0.116	0.721	0.347	0.141	0.531	0.023	0.158	0.019
2988.375	0.406	0.41	0.249	0.116	0.726	0.327	0.15	0.531	0.023	0.158	0.019
2988.5	0.396	0.4	0.259	0.117	0.737	0.302	0.154	0.531	0.023	0.158	0.019
2988.625	0.389	0.394	0.263	0.117	0.748	0.282	0.154	0.531	0.023	0.158	0.019
2988.75	0.391	0.395	0.263	0.117	0.76	0.277	0.149	0.531	0.023	0.158	0.019
2988.875	0.401	0.405	0.262	0.118	0.775	0.283	0.147	0.531	0.023	0.158	0.019
2989	0.412	0.415	0.261	0.122	0.784	0.292	0.15	0.531	0.023	0.158	0.019
2989.125	0.424	0.425	0.264	0.126	0.791	0.296	0.157	0.531	0.023	0.158	0.019
2989.25	0.434	0.434	0.27	0.132	0.796	0.298	0.164	0.531	0.023	0.158	0.019
2989.375	0.438	0.437	0.274	0.136	0.798	0.297	0.166	0.531	0.023	0.158	0.019
2989.5	0.434	0.433	0.277	0.137	0.8	0.297	0.165	0.531	0.023	0.158	0.019
2989.625	0.423	0.423	0.279	0.136	0.796	0.298	0.16	0.531	0.023	0.158	0.019
2989.75	0.413	0.414	0.274	0.135	0.795	0.298	0.154	0.531	0.023	0.158	0.019
2989.875	0.406	0.406	0.263	0.137	0.791	0.296	0.153	0.531	0.023	0.158	0.019
2990	0.398	0.396	0.251	0.137	0.787	0.293	0.158	0.531	0.023	0.158	0.019
2990.125	0.392	0.388	0.246	0.133	0.786	0.291	0.165	0.531	0.023	0.158	0.019
2990.25	0.384	0.378	0.246	0.127	0.78	0.29	0.164	0.531	0.023	0.158	0.019
2990.375	0.373	0.365	0.249	0.121	0.775	0.289	0.162	0.531	0.023	0.158	0.019
2990.5	0.36	0.352	0.261	0.116	0.768	0.288	0.17	0.531	0.023	0.158	0.019
2990.625	0.345	0.336	0.277	0.11	0.76	0.287	0.187	0.531	0.023	0.158	0.019
2990.75	0.337	0.327	0.292	0.107	0.757	0.286	0.198	0.531	0.023	0.158	0.019
2990.875	0.336	0.325	0.299	0.11	0.757	0.286	0.196	0.531	0.023	0.158	0.019
2991	0.338	0.327	0.302	0.118	0.762	0.286	0.19	0.531	0.023	0.158	0.019
2991.125	0.342	0.331	0.306	0.124	0.768	0.286	0.185	0.497	0.01	0.184	-0.003
2991.25	0.347	0.336	0.306	0.122	0.773	0.286	0.183	0.497	0.01	0.184	-0.003
2991.375	0.353	0.343	0.301	0.114	0.782	0.286	0.184	0.497	0.01	0.184	-0.003
2991.5	0.359	0.349	0.299	0.106	0.789	0.284	0.188	0.497	0.01	0.184	-0.003
2991.625	0.368	0.359	0.295	0.1	0.793	0.283	0.193	0.497	0.01	0.184	-0.003
2991.75	0.379	0.371	0.288	0.096	0.796	0.282	0.196	0.497	0.01	0.184	-0.003
2991.875	0.4	0.393	0.28	0.096	0.795	0.283	0.192	0.497	0.01	0.184	-0.003
2992	0.438	0.432	0.27	0.099	0.791	0.286	0.185	0.497	0.01	0.184	-0.003
2992.125	0.471	0.466	0.255	0.1	0.789	0.288	0.18	0.497	0.01	0.184	-0.003
2992.25	0.499	0.497	0.246	0.089	0.787	0.288	0.177	0.497	0.01	0.184	-0.003
2992.375	0.515	0.517	0.24	0.066	0.787	0.288	0.173	0.497	0.01	0.184	-0.003
2992.5	0.508	0.515	0.239	0.049	0.784	0.287	0.171	0.497	0.01	0.184	-0.003
2992.625	0.48	0.491	0.257	0.044	0.778	0.289	0.172	0.497	0.01	0.184	-0.003
2992.75	0.425	0.441	0.289	0.049	0.769	0.29	0.18	0.497	0.01	0.184	-0.003
2992.875	0.376	0.394	0.306	0.061	0.762	0.29	0.187	0.497	0.01	0.184	-0.003
2993	0.339	0.357	0.317	0.078	0.757	0.285	0.189	0.497	0.01	0.184	-0.003
2993.125	0.312	0.329	0.331	0.097	0.75	0.277	0.187	0.497	0.01	0.184	-0.003
2993.25	0.311	0.326	0.327	0.105	0.744	0.273	0.187	0.505	0.026	0.226	0.009
2993.375	0.323	0.336	0.312	0.104	0.741	0.277	0.198	0.505	0.026	0.226	0.009
2993.5	0.337	0.348	0.292	0.1	0.735	0.282	0.215	0.505	0.026	0.226	0.009
2993.625	0.352	0.361	0.281	0.097	0.733	0.286	0.233	0.505	0.026	0.226	0.009
2993.75	0.368	0.375	0.273	0.097	0.739	0.288	0.248	0.505	0.026	0.226	0.009
2993.875	0.377	0.383	0.261	0.098	0.748	0.288	0.253	0.505	0.026	0.226	0.009
2994	0.379	0.385	0.26	0.098	0.757	0.289	0.253	0.505	0.026	0.226	0.009
2994.125	0.374	0.383	0.273	0.1	0.764	0.289	0.245	0.505	0.026	0.226	0.009
2994.25	0.366	0.377	0.282	0.105	0.766	0.29	0.233	0.505	0.026	0.226	0.009
2994.375	0.353	0.367	0.295	0.112	0.766	0.291	0.226	0.505	0.026	0.226	0.009
2994.5	0.332	0.35	0.321	0.12	0.769	0.292	0.223	0.505	0.026	0.226	0.009
2994.625	0.315	0.337	0.34	0.124	0.771	0.293	0.22	0.505	0.026	0.226	0.009
2994.75	0.303	0.328	0.348	0.12	0.773	0.293	0.206	0.505	0.026	0.226	0.009
2994.875	0.294	0.322	0.346	0.112	0.771	0.293	0.187	0.495	0.015	0.184	-0.003
2995	0.291	0.321	0.343	0.105	0.769	0.291	0.18	0.495	0.015	0.184	-0.003
2995.125	0.291	0.322	0.34	0.105	0.768	0.288	0.184	0.495	0.015	0.184	-0.003
2995.25	0.291	0.323	0.336	0.106	0.766	0.286	0.19	0.495	0.015	0.184	-0.003
2995.375	0.293	0.326	0.331	0.107	0.766	0.284	0.192	0.495	0.015	0.184	-0.003
2995.5	0.298	0.332	0.319	0.108	0.769	0.285	0.187	0.495	0.015	0.184	-0.003
2995.625	0.303	0.338	0.31	0.109	0.771	0.287	0.178	0.495	0.015	0.184	-0.003
2995.75	0.307	0.343	0.298	0.111	0.769	0.288	0.172	0.495	0.015	0.184	-0.003
2995.875	0.309	0.346	0.274	0.11	0.762	0.285	0.181	0.495	0.015	0.184	-0.003
2996	0.306	0.346	0.259	0.109	0.755	0.28	0.195	0.495	0.015	0.184	-0.003
2996.125	0.301	0.342	0.261	0.112	0.75	0.274	0.198	0.495	0.015	0.184	-0.003
2996.25	0.294	0.337	0.275	0.116	0.744	0.272	0.189	0.495	0.015	0.184	-0.003
2996.375	0.288	0.333	0.285	0.117	0.739	0.275	0.181	0.495	0.015	0.184	-0.003
2996.5	0.283	0.329	0.293	0.117	0.732	0.282	0.185	0.495	0.015	0.184	-0.003
2996.625	0.278	0.325	0.302	0.118	0.724	0.288	0.191	0.495	0.015	0.184	-0.003
2996.75	0.274	0.321	0.301	0.118	0.719	0.285	0.192	0.495	0.015	0.184	-0.003
2996.875	0.268	0.314	0.295	0.114	0.717	0.271	0.194	0.495	0.015	0.184	-0.003
2997	0.263	0.308	0.289	0.108	0.721	0.255	0.197	0.495	0.015	0.184	-0.003
2997.125	0.257	0.301	0.287	0.103	0.73	0.24	0.196	0.495	0.015	0.184	-0.003
2997.25	0.25	0.293	0.287	0.1	0.742	0.225	0.184	0.495	0.015	0.184	-0.003
2997.375	0.247	0.288	0.288	0.1	0.751	0.218	0.171	0.495	0.015	0.184	-0.003
2997.5	0.244	0.285	0.29	0.103	0.757	0.211	0.163	0.495	0.015	0.184	-0.003
2997.625	0.24	0.28	0.292	0.103	0.768	0.2	0.163	0.495	0.015	0.184	-0.003
2997.75	0.235	0.274	0.292	0.1	0.775	0.191	0.169	0.495	0.015	0.184	-0.003
2997.875	0.229	0.268	0.291	0.095	0.782	0.185	0.17	0.495	0.015	0.184	-0.003
2998	0.221	0.259	0.288	0.094	0.791	0.181	0.169	0.495	0.015	0.184	-0.003
2998.125	0.214	0.252	0.286	0.097	0.798	0.18	0.169	0.495	0.015	0.184	-0.003
2998.25	0.209	0.247	0.285	0.101	0.802	0.18	0.179	0.495	0.015	0.184	-0.003
2998.375	0.204	0.243	0.284	0.103	0.805	0.181	0.191	0.495	0.015	0.184	-0.003
2998.5	0.203	0.241	0.282	0.099	0.807	0.185	0.196	0.495	0.015	0.184	-0.003
2998.625	0.204	0.242	0.279	0.093	0.804	0.194	0.19	0.497	0.016	0.158	-0.002
2998.75	0.206	0.243	0.271	0.09	0.8	0.202	0.177	0.497	0.016	0.158	-0.002
2998.875	0.209	0.246	0.264	0.09	0.796	0.209	0.163	0.497	0.016	0.158	-0.002
2999	0.213	0.249	0.262	0.093	0.791	0.214	0.15	0.497	0.016	0.158	-0.002
2999.125	0.215	0.252	0.262	0.096	0.787	0.217	0.143	0.497	0.016	0.158	-0.002
2999.25	0.216	0.253	0.264	0.099	0.784	0.222	0.142	0.497	0.016	0.158	-0.002
2999.375	0.216	0.253	0.268	0.099	0.78	0.223	0.146	0.497	0.016	0.158	-0.002
2999.5	0.216	0.253	0.267	0.097	0.778	0.22	0.15	0.497	0.016	0.158	-0.002
2999.625	0.216	0.252	0.263	0.096	0.78	0.217	0.151	0.497	0.016	0.158	-0.002
2999.75	0.214	0.25	0.259	0.097	0.784	0.211	0.151	0.497	0.016	0.158	-0.002
2999.875	0.212	0.247	0.258	0.099	0.787	0.201	0.156	0.497	0.016	0.158	-0.002
3000	0.209	0.244	0.261	0.098	0.791	0.188	0.168	0.497	0.016	0.158	-0.002
3000.125	0.207	0.241	0.269	0.094	0.795	0.181	0.177	0.497	0.016	0.158	-0.002
3000.25	0.205	0.24	0.28	0.092	0.798	0.177	0.176	0.497	0.016	0.158	-0.002
3000.375	0.206	0.24	0.285	0.093	0.802	0.177	0.173	0.497	0.016	0.158	-0.002
3000.5	0.208	0.241	0.285	0.098	0.804	0.179	0.174	0.497	0.016	0.158	-0.002
3000.625	0.212	0.243	0.282	0.103	0.8	0.185	0.177	0.497	0.016	0.158	-0.002
3000.75	0.216	0.245	0.274	0.105	0.791	0.193	0.172	0.497	0.016	0.158	-0.002
3000.875	0.218	0.245	0.268	0.104	0.784	0.197	0.16	0.497	0.016	0.158	-0.002
3001	0.218	0.242	0.267	0.101	0.78	0.199	0.152	0.497	0.016	0.158	-0.002
3001.125	0.217	0.238	0.271	0.098	0.782	0.198	0.15	0.497	0.016	0.158	-0.002
3001.25	0.215	0.235	0.274	0.099	0.789	0.197	0.155	0.497	0.016	0.158	-0.002
3001.375	0.212	0.232	0.276	0.101	0.8	0.194	0.16	0.497	0.016	0.158	-0.002
3001.5	0.209	0.228	0.277	0.103	0.811	0.19	0.161	0.497	0.016	0.158	-0.002
3001.625	0.208	0.227	0.278	0.102	0.818	0.187	0.154	0.497	0.016	0.158	-0.002
3001.75	0.21	0.229	0.28	0.099	0.82	0.182	0.147	0.497	0.016	0.158	-0.002
3001.875	0.214	0.234	0.281	0.097	0.816	0.18	0.149	0.497	0.016	0.158	-0.002
3002	0.221	0.241	0.281	0.097	0.811	0.178	0.159	0.516	0.047	0.245	0.017
3002.125	0.231	0.251	0.277	0.098	0.804	0.181	0.176	0.516	0.047	0.245	0.017
3002.25	0.241	0.26	0.266	0.099	0.798	0.191	0.192	0.516	0.047	0.245	0.017
3002.375	0.254	0.273	0.248	0.102	0.793	0.212	0.213	0.516	0.047	0.245	0.017
3002.5	0.282	0.299	0.229	0.106	0.784	0.242	0.246	0.516	0.047	0.245	0.017
3002.625	0.315	0.33	0.219	0.11	0.777	0.261	0.273	0.516	0.047	0.245	0.017
3002.75	0.368	0.38	0.211	0.112	0.771	0.272	0.292	0.516	0.047	0.245	0.017
3002.875	0.421	0.428	0.197	0.111	0.768	0.279	0.301	0.516	0.047	0.245	0.017
3003	0.466	0.471	0.185	0.107	0.766	0.279	0.285	0.516	0.047	0.245	0.017
3003.125	0.505	0.506	0.176	0.1	0.764	0.276	0.254	0.516	0.047	0.245	0.017
3003.25	0.518	0.518	0.168	0.097	0.764	0.277	0.232	0.516	0.047	0.245	0.017
3003.375	0.51	0.511	0.166	0.098	0.764	0.287	0.222	0.516	0.047	0.245	0.017
3003.5	0.487	0.487	0.167	0.1	0.764	0.308	0.22	0.516	0.047	0.245	0.017
3003.625	0.462	0.462	0.172	0.101	0.766	0.325	0.227	0.516	0.047	0.245	0.017
3003.75	0.447	0.442	0.184	0.098	0.766	0.332	0.243	0.516	0.047	0.245	0.017
3003.875	0.442	0.431	0.195	0.095	0.766	0.33	0.268	0.516	0.047	0.245	0.017
3004	0.45	0.434	0.199	0.096	0.766	0.322	0.286	0.516	0.047	0.245	0.017
3004.125	0.46	0.441	0.2	0.102	0.766	0.313	0.291	0.516	0.047	0.245	0.017
3004.25	0.466	0.444	0.202	0.108	0.764	0.305	0.283	0.516	0.047	0.245	0.017
3004.375	0.462	0.438	0.208	0.11	0.762	0.301	0.268	0.516	0.047	0.245	0.017
3004.5	0.444	0.42	0.221	0.108	0.762	0.301	0.25	0.516	0.047	0.245	0.017
3004.625	0.421	0.395	0.239	0.106	0.76	0.301	0.232	0.516	0.047	0.245	0.017
3004.75	0.395	0.368	0.249	0.103	0.76	0.301	0.22	0.516	0.047	0.245	0.017
3004.875	0.366	0.337	0.254	0.1	0.764	0.305	0.211	0.508	0.018	0.236	0.015
3005	0.351	0.32	0.263	0.096	0.768	0.31	0.212	0.508	0.018	0.236	0.015
3005.125	0.346	0.314	0.269	0.09	0.771	0.318	0.219	0.508	0.018	0.236	0.015
3005.25	0.347	0.311	0.274	0.084	0.773	0.328	0.23	0.508	0.018	0.236	0.015
3005.375	0.351	0.313	0.275	0.083	0.775	0.332	0.238	0.508	0.018	0.236	0.015
3005.5	0.364	0.324	0.273	0.087	0.775	0.333	0.243	0.508	0.018	0.236	0.015
3005.625	0.389	0.345	0.266	0.097	0.773	0.332	0.249	0.508	0.018	0.236	0.015
3005.75	0.41	0.363	0.258	0.103	0.771	0.33	0.254	0.508	0.018	0.236	0.015
3005.875	0.428	0.379	0.255	0.106	0.769	0.328	0.253	0.508	0.018	0.236	0.015
3006	0.441	0.39	0.255	0.106	0.771	0.326	0.248	0.508	0.018	0.236	0.015
3006.125	0.445	0.394	0.256	0.106	0.773	0.325	0.237	0.508	0.018	0.236	0.015
3006.25	0.441	0.391	0.252	0.103	0.775	0.325	0.227	0.508	0.018	0.236	0.015
3006.375	0.433	0.385	0.241	0.099	0.777	0.325	0.229	0.508	0.018	0.236	0.015
3006.5	0.428	0.381	0.222	0.095	0.778	0.326	0.257	0.461	0.064	0.271	-0.068
3006.625	0.434	0.388	0.203	0.093	0.778	0.325	0.314	0.461	0.064	0.271	-0.068
3006.75	0.449	0.405	0.193	0.094	0.78	0.324	0.357	0.461	0.064	0.271	-0.068
3006.875	0.479	0.438	0.185	0.097	0.78	0.323	0.36	0.461	0.064	0.271	-0.068
3007	0.529	0.492	0.17	0.099	0.78	0.334	0.323	0.461	0.064	0.271	-0.068
3007.125	0.569	0.534	0.16	0.098	0.78	0.365	0.281	0.461	0.064	0.271	-0.068
3007.25	0.603	0.566	0.154	0.098	0.777	0.455	0.26	0.461	0.064	0.271	-0.068
3007.375	0.633	0.592	0.151	0.103	0.773	0.595	0.262	0.461	0.064	0.271	-0.068
3007.5	0.644	0.597	0.15	0.108	0.769	0.679	0.278	0.461	0.064	0.271	-0.068
3007.625	0.637	0.586	0.152	0.111	0.764	0.674	0.287	0.461	0.064	0.271	-0.068
3007.75	0.621	0.567	0.16	0.116	0.755	0.633	0.284	0.461	0.064	0.271	-0.068
3007.875	0.589	0.533	0.174	0.127	0.732	0.575	0.259	0.461	0.064	0.271	-0.068
3008	0.535	0.478	0.196	0.145	0.681	0.527	0.225	0.461	0.064	0.271	-0.068
3008.125	0.487	0.429	0.224	0.155	0.636	0.516	0.205	0.461	0.064	0.271	-0.068
3008.25	0.438	0.383	0.241	0.151	0.598	0.524	0.197	0.461	0.064	0.271	-0.068
3008.375	0.376	0.325	0.257	0.136	0.564	0.537	0.189	0.461	0.064	0.271	-0.068
3008.5	0.34	0.29	0.283	0.127	0.55	0.545	0.183	0.542	0.074	0.293	0.103
3008.625	0.326	0.272	0.292	0.122	0.541	0.547	0.185	0.542	0.074	0.293	0.103
3008.75	0.319	0.262	0.277	0.12	0.53	0.547	0.207	0.542	0.074	0.293	0.103
3008.875	0.323	0.264	0.264	0.124	0.523	0.543	0.243	0.542	0.074	0.293	0.103
3009	0.341	0.279	0.245	0.135	0.517	0.539	0.292	0.542	0.074	0.293	0.103
3009.125	0.376	0.309	0.207	0.151	0.514	0.527	0.343	0.542	0.074	0.293	0.103
3009.25	0.41	0.338	0.171	0.16	0.515	0.512	0.359	0.542	0.074	0.293	0.103
3009.375	0.454	0.378	0.142	0.16	0.523	0.491	0.345	0.542	0.074	0.293	0.103
3009.5	0.494	0.415	0.123	0.157	0.532	0.471	0.325	0.542	0.074	0.293	0.103
3009.625	0.524	0.443	0.118	0.155	0.544	0.456	0.311	0.542	0.074	0.293	0.103
3009.75	0.547	0.468	0.11	0.152	0.564	0.441	0.304	0.542	0.074	0.293	0.103
3009.875	0.555	0.48	0.096	0.149	0.582	0.434	0.302	0.542	0.074	0.293	0.103
3010	0.56	0.488	0.088	0.144	0.595	0.431	0.296	0.567	0.27	0.725	0.276
3010.125	0.56	0.494	0.091	0.135	0.609	0.431	0.296	0.567	0.27	0.725	0.276
3010.25	0.555	0.493	0.095	0.13	0.618	0.432	0.311	0.567	0.27	0.725	0.276
3010.375	0.541	0.484	0.103	0.128	0.627	0.434	0.368	0.567	0.27	0.725	0.276
3010.5	0.521	0.466	0.124	0.126	0.636	0.435	0.488	0.567	0.27	0.725	0.276
3010.625	0.506	0.453	0.155	0.125	0.643	0.43	0.611	0.567	0.27	0.725	0.276
3010.75	0.502	0.449	0.197	0.126	0.647	0.415	0.761	0.567	0.27	0.725	0.276
3010.875	0.505	0.452	0.254	0.131	0.649	0.398	0.907	0.567	0.27	0.725	0.276
3011	0.52	0.467	0.286	0.15	0.645	0.389	0.987	0.567	0.27	0.725	0.276
3011.125	0.54	0.488	0.314	0.189	0.634	0.4	0.999	0.567	0.27	0.725	0.276
3011.25	0.552	0.499	0.358	0.238	0.622	0.427	0.95	0.567	0.27	0.725	0.276
3011.375	0.555	0.498	0.369	0.281	0.609	0.465	0.886	0.567	0.27	0.725	0.276
3011.5	0.554	0.489	0.347	0.31	0.595	0.508	0.813	0.567	0.27	0.725	0.276
3011.625	0.552	0.48	0.33	0.322	0.587	0.528	0.774	0.567	0.27	0.725	0.276
3011.75	0.551	0.473	0.311	0.318	0.586	0.518	0.761	0.567	0.27	0.725	0.276
3011.875	0.538	0.459	0.278	0.302	0.587	0.486	0.754	0.567	0.27	0.725	0.276
3012	0.513	0.444	0.257	0.287	0.591	0.458	0.742	0.567	0.27	0.725	0.276
