深度	RXO2	RT2	AC2	CNL2	DEN2	CAL2	GR2	RM	GS	AM	M
2981.5	0.581	0.547	0.264	0.162	0.705	0.619	0.283	0.454	0.038	0.175	-0.015
2981.625	0.569	0.526	0.31	0.146	0.714	0.587	0.255	0.454	0.038	0.175	-0.015
2981.75	0.578	0.525	0.322	0.135	0.719	0.532	0.226	0.454	0.038	0.175	-0.015
2981.875	0.597	0.536	0.305	0.133	0.723	0.437	0.218	0.454	0.038	0.175	-0.015
2982	0.613	0.549	0.254	0.134	0.723	0.306	0.229	0.454	0.038	0.175	-0.015
2982.125	0.611	0.551	0.192	0.134	0.721	0.223	0.243	0.454	0.038	0.175	-0.015
2982.25	0.588	0.537	0.153	0.127	0.717	0.183	0.239	0.454	0.038	0.175	-0.015
2982.375	0.556	0.515	0.148	0.119	0.714	0.16	0.226	0.454	0.038	0.175	-0.015
2982.5	0.515	0.482	0.153	0.111	0.712	0.156	0.209	0.454	0.038	0.175	-0.015
2982.625	0.461	0.433	0.162	0.103	0.714	0.16	0.192	0.454	0.038	0.175	-0.015
2982.75	0.425	0.397	0.176	0.098	0.719	0.169	0.186	0.454	0.038	0.175	-0.015
2982.875	0.404	0.374	0.184	0.094	0.726	0.176	0.187	0.454	0.038	0.175	-0.015
2983	0.388	0.357	0.192	0.087	0.737	0.182	0.188	0.454	0.038	0.175	-0.015
2983.125	0.383	0.352	0.197	0.083	0.744	0.19	0.181	0.454	0.038	0.175	-0.015
2983.25	0.383	0.352	0.207	0.084	0.75	0.21	0.164	0.454	0.038	0.175	-0.015
2983.375	0.384	0.353	0.231	0.092	0.755	0.241	0.152	0.454	0.038	0.175	-0.015
2983.5	0.385	0.353	0.259	0.102	0.76	0.26	0.155	0.454	0.038	0.175	-0.015
2983.625	0.385	0.353	0.284	0.118	0.764	0.261	0.167	0.454	0.038	0.175	-0.015
2983.75	0.386	0.355	0.302	0.139	0.769	0.257	0.181	0.454	0.038	0.175	-0.015
2983.875	0.388	0.359	0.309	0.151	0.773	0.255	0.186	0.454	0.038	0.175	-0.015
