孔隙度	_GR	_RT	_AC	_CAL	_DEN	_CNL	_RXO
9.083	94.896	25.751	67.12	9.747	2.471	11.797	22.881
8.72	96.676	24.593	67.434	9.839	2.464	11.296	21.909
8.677	98.343	24.39	66.9	9.84	2.451	11.16	21.916
6.254	100.76	25.076	65.857	9.752	2.438	11.093	22.771
8.735	101.786	26.151	64.985	9.68	2.466	11.487	23.656
8.504	97.266	25.887	65.138	9.662	2.481	11.573	23.3
8.192	92.104	25.49	65.572	9.647	2.491	11.43	22.98
5.438	93.036	25.521	65.589	9.626	2.494	10.661	23.239
8.284	92.12	25.806	65.249	9.612	2.505	10.306	23.616
8.524	91.478	25.95	65.352	9.606	2.519	10.177	23.903
7.33	91.394	25.422	65.523	9.608	2.523	9.602	23.654
9.637	93.591	23.971	66.481	9.588	2.515	10.616	22.953
8.879	93.415	24.111	66.216	9.578	2.511	11.373	23.249
4.755	89.344	25.041	65.332	9.562	2.505	10.779	24.21
7.611	85.437	26.7	64.175	9.547	2.501	10.136	25.783
7.654	83.461	28.719	63.404	9.539	2.503	9.816	27.657
7.201	87.226	36.305	62.848	9.527	2.534	9.262	34.888
5.62	86.194	44.639	61.697	9.539	2.56	9.022	42.87
3.85	86.554	57.196	60.723	9.535	2.581	9.007	55.043
