深度,Permeability_by_class
3166.5,0.2657840747851449
3166.625,0.2585477070245563
3166.75,0.26458226671230806
3166.875,0.22577348777997355
3167.0,0.2996383448313928
3167.125,0.38525144700436825
3167.25,0.39116921066026744
3167.375,0.39116921066026744
3167.5,0.388279029830469
3167.625,0.4368352973892333
3167.75,0.3678783195914973
3167.875,0.46410936747036086
3168.0,0.49553016519273
3168.125,0.4794637204287403
3168.25,0.47046248908634664
3168.375,0.46794942798006667
3168.5,0.47162691099188253
3168.625,0.45539639168767326
3168.75,0.4505442201681393
3168.875,0.4014553142602248
3169.0,0.38795921968976177
3169.125,0.43307210145695785
3169.25,0.3568316957737857
3169.375,0.2487260848740786
3169.5,0.35463327600788636
3169.625,0.3855690250208736
3169.75,0.32671761339452543
3169.875,0.24597458810420655
3170.0,0.378174689427253
3170.125,0.4106561433785369
3170.25,0.18743953314293166
3170.375,0.38098965792600226
3170.5,0.36833329831344014
3170.625,0.35904374384191706
3170.75,0.20972229067979165
3170.875,0.1619112313154083
3171.0,0.2528286770317022
3171.125,0.10362461451665861
3171.25,0.0794306245462086
3171.375,0.05451501091969361
3171.5,0.050719730339497206
3171.625,0.05690497056479767
3171.75,0.10683970140641964
3171.875,0.10635461056581362
3172.0,0.1224511567672172
3172.125,0.18328828298826
3172.25,0.1894301263625285
3172.375,0.3057489163137967
3172.5,0.3701588471785862
3172.625,0.4818400585298987
3172.75,0.5479347607896423
3172.875,0.5447833704363654
3173.0,0.5533796146990292
3173.125,0.49655200947127587
3173.25,0.3580097534155525
3173.375,0.36818157625142584
3173.5,0.4218020930453065
3173.625,0.423543502508867
3173.75,0.438277481943963
3173.875,0.16712738456870202
3174.0,0.519573472712555
3174.125,0.5749943589382804
3174.25,0.4890399728517451
3174.375,0.43557727932556967
3174.5,0.45147329788317947
3174.625,0.38398374854974393
3174.75,0.330644648832281
3174.875,0.33091721230364707
3175.0,0.3331058243069077
3175.125,0.4186855790404575
3175.25,0.5098192393305704
3175.375,0.2975236755485562
3175.5,0.28684910286287346
3175.625,0.2968364469631571
3175.75,0.1473872141853692
3175.875,0.1600906526251116
3176.0,0.3290858975594723
3176.125,0.327113204950311
3176.25,0.29574018145124636
3176.375,0.12917186487318966
3176.5,0.10864326684144035
3176.625,0.44117615062022764
3176.75,0.4426326662318148
3176.875,0.36757531271213273
3177.0,0.43468091370373413
3177.125,0.522579032203869
3177.25,0.6197673899900711
3177.375,0.5077231050661641
3177.5,0.24095105064276867
3177.625,0.25282405284519976
3177.75,0.2731254745947561
3177.875,0.2479603373898132
3178.0,0.2480750455700779
3178.125,0.2422920467959936
3178.25,0.23241366052888782
3178.375,0.24364050616914695
3178.5,0.24061696288698
3178.625,0.21753968714058072
3178.75,0.2000702997416423
3178.875,0.12772036602675427
3179.0,0.12234895315424853
3179.125,0.2000702997416423
3179.25,0.20886357831283264
3179.375,0.22438622896012606
3179.5,0.26540482543969546
3179.625,0.24693034763876545
3179.75,0.2359880819397303
3179.875,0.23719173049146827
3180.0,0.2142446965248179
3180.125,0.15744777303476432
3180.25,0.31419261848162683
3180.375,0.18918139250424743
3180.5,0.09326176657706299
3180.625,0.06376638902194043
3180.75,0.10519809941000038
3180.875,0.18163446441959843
3181.0,0.11093026201086585
3181.125,0.11967063175277573
3181.25,0.12455902920429382
3181.375,0.12508721746255244
3181.5,0.22480172770153456
3181.625,0.19067469405167276
3181.75,0.45091562160193427
3181.875,0.11267704677335454
3182.0,0.10723790029650773
3182.125,0.07739318546993304
3182.25,0.10038102884694652
3182.375,0.38161804653225556
3182.5,0.39685073602655985
3182.625,0.41014888593499904
3182.75,0.21315749454625285
3182.875,0.2157361867316359
3183.0,0.42916447205871283
3183.125,0.4252921013794262
3183.25,0.35143340372273507
3183.375,0.6705901412176402
3183.5,0.7351358650137726
3183.625,0.44372820771412735
3183.75,0.4001342957788
3183.875,0.4074540763298259
3184.0,0.3407401727857915
3184.125,0.3544871971924734
3184.25,0.38572791218769115
3184.375,0.41507873710858045
3184.5,0.4612500160756555
3184.625,0.2520270014057878
3184.75,0.3505657332313054
3184.875,0.4167923892047686
3185.0,0.3555110139032443
3185.125,0.4007942607600213
3185.25,0.3703113840440605
3185.375,0.3562441214333897
3185.5,1.497250482593658
3185.625,0.4087992606113082
3185.75,0.370769371892924
3185.875,0.4654497908475793
3186.0,0.4057788189352865
3186.125,0.4522179392940822
3186.25,0.3986533451892765
3186.375,0.1698371828553723
3186.5,0.27120425086031696
3186.625,0.20536157997285506
3186.75,0.3203199148205971
3186.875,0.4153521989534139
3187.0,0.5557113098343592
3187.125,0.4121816829606496
3187.25,0.31586415445973637
3187.375,0.3555110139032443
3187.5,0.36742390287586335
3187.625,0.37879843514072753
3187.75,0.37276054023760197
3187.875,0.37061664637532105
3188.0,0.42424207766882854
3188.125,0.46794942798006667
3188.25,0.4461111919297062
3188.375,0.44299754585855033
3188.5,0.37538051951839735
3188.625,0.17451875776263132
3188.75,0.4971661272015578
3188.875,0.4525907204408006
3189.0,0.48984657518477254
3189.125,0.4796613001801913
3189.25,0.5144612467125945
3189.375,0.423543502508867
3189.5,0.45689985454037046
3189.625,0.4616302427207659
3189.75,0.4677566725260891
3189.875,0.46487485029254927
3190.0,0.4852267125174718
3190.125,0.49268017447468243
3190.25,0.5112916802560342
3190.375,0.5008668163958478
3190.5,0.5170110410141094
3190.625,0.5646647714583427
3190.75,2.5632170109652312
3190.875,0.7118183357862577
3191.0,0.6587389545898645
3191.125,0.7424825973494533
3191.25,0.6951743187698368
3191.375,1.4664246312382876
3191.5,0.36651675268753686
3191.625,0.4870292730493898
3191.75,0.4910589738259577
3191.875,0.4838293346659856
3192.0,0.4664096056865869
3192.125,0.4612500160756555
3192.25,0.34854949051601847
3192.375,0.5804462663863421
3192.5,0.23180586445226012
3192.625,0.24995883147628162
3192.75,0.4017862497658786
3192.875,0.3887592394197308
3193.0,0.2595081815414732
3193.125,0.4983022060794553
3193.25,0.3490714162960151
3193.375,0.972985707978986
3193.5,1.4381020371739415
3193.625,2.2965229414576473
3193.75,2.518618191643504
3193.875,2.250704131253659
3194.0,1.9520326503844865
3194.125,4.103890862194788
3194.25,0.5653631286116797
3194.375,0.5942619587876011
3194.5,0.5023134012670595
3194.625,0.4548338694578989
3194.75,1.1725640122087686
3194.875,2.484467409591636
3195.0,0.6845297680193191
3195.125,0.6442190657624254
3195.25,0.7251215764774203
3195.375,2.2057994697091985
3195.5,1.900690259142267
3195.625,2.1394211771536398
3195.75,0.8238131903484592
3195.875,0.6765210028460539
3196.0,0.31984516921170114
3196.125,0.7333153982625701
3196.25,0.075364120287016
