Depth	GR2
3175.125	0.15
3175.25	0.155
3175.375	0.154
3175.5	0.146
3175.625	0.137
3175.75	0.136
3175.875	0.142
3176	0.151
3176.125	0.159
3176.25	0.166
3176.375	0.168
3176.5	0.168
3176.625	0.173
3176.75	0.18
3176.875	0.187
3177	0.196
3177.125	0.203
3177.25	0.214
3177.375	0.224
3177.5	0.228
3177.625	0.234
3177.75	0.244
3177.875	0.256
3178	0.27
3178.125	0.279
3178.25	0.286
3178.375	0.283
3178.5	0.27
3178.625	0.248
3178.75	0.224
3178.875	0.21
3179	0.201
3179.125	0.196
3179.25	0.205
3179.375	0.223
3179.5	0.236
3179.625	0.237
3179.75	0.228
3179.875	0.216
3180	0.203
3180.125	0.196
3180.25	0.202
3180.375	0.217
3180.5	0.231
3180.625	0.232
3180.75	0.225
3180.875	0.216
3181	0.213
3181.125	0.215
3181.25	0.219
3181.375	0.221
3181.5	0.225
3181.625	0.233
3181.75	0.247
3181.875	0.259
3182	0.257
3182.125	0.237
3182.25	0.218
3182.375	0.214
3182.5	0.214
3182.625	0.211
3182.75	0.196
3182.875	0.177
3183	0.171
3183.125	0.181
3183.25	0.2
3183.375	0.211
3183.5	0.21
3183.625	0.204
3183.75	0.2
3183.875	0.197
3184	0.192
3184.125	0.19
3184.25	0.197
3184.375	0.21
3184.5	0.217
3184.625	0.207
3184.75	0.187
3184.875	0.172
3185	0.178
3185.125	0.2
3185.25	0.224
3185.375	0.233
3185.5	0.222
3185.625	0.201
3185.75	0.184
3185.875	0.188
3186	0.205
3186.125	0.217
3186.25	0.215
3186.375	0.21
3186.5	0.208
3186.625	0.21
3186.75	0.21
3186.875	0.209
3187	0.206
3187.125	0.203
3187.25	0.2
3187.375	0.199
3187.5	0.204
3187.625	0.218
3187.75	0.242
3187.875	0.256
3188	0.251
3188.125	0.226
3188.25	0.2
3188.375	0.184
3188.5	0.18
3188.625	0.188
3188.75	0.197
3188.875	0.203
3189	0.205
3189.125	0.21
3189.25	0.214
3189.375	0.212
3189.5	0.202
3189.625	0.19
3189.75	0.177
3189.875	0.164
3190	0.158
3190.125	0.159
3190.25	0.164
3190.375	0.178
3190.5	0.196
3190.625	0.203
3190.75	0.2
3190.875	0.193
3191	0.191
3191.125	0.196
3191.25	0.198
3191.375	0.193
3191.5	0.185
3191.625	0.182
3191.75	0.184
3191.875	0.192
3192	0.199
3192.125	0.206
3192.25	0.215
3192.375	0.224
3192.5	0.233
3192.625	0.234
3192.75	0.224
3192.875	0.204
3193	0.178
3193.125	0.166
3193.25	0.167
3193.375	0.17
3193.5	0.166
3193.625	0.161
3193.75	0.161
3193.875	0.162
3194	0.159
3194.125	0.155
3194.25	0.16
3194.375	0.173
3194.5	0.181
3194.625	0.173
3194.75	0.151
3194.875	0.132
3195	0.118
3195.125	0.108
3195.25	0.109
3195.375	0.121
3195.5	0.131
3195.625	0.13
3195.75	0.123
3195.875	0.12
3196	0.133
3196.125	0.161
3196.25	0.193
3196.375	0.252
3196.5	0.327
3196.625	0.41
3196.75	0.482
3196.875	0.499
3197	0.496
3197.125	0.504
3197.25	0.519
3197.375	0.525
3197.5	0.511
3197.625	0.487
3197.75	0.466
3197.875	0.456
3198	0.46
