Depth	GR2
3021.5	0.382
3021.625	0.402
3021.75	0.393
3021.875	0.352
3022	0.303
3022.125	0.257
3022.25	0.206
3022.375	0.173
3022.5	0.139
3022.625	0.099
3022.75	0.077
3022.875	0.072
3023	0.082
3023.125	0.098
3023.25	0.121
3023.375	0.165
3023.5	0.208
3023.625	0.24
3023.75	0.255
3023.875	0.226
3024	0.167
3024.125	0.124
3024.25	0.102
3024.375	0.089
3024.5	0.086
3024.625	0.083
3024.75	0.086
3024.875	0.097
3025	0.116
3025.125	0.135
3025.25	0.15
3025.375	0.176
3025.5	0.205
3025.625	0.241
3025.75	0.274
3025.875	0.28
3026	0.254
3026.125	0.188
3026.25	0.124
3026.375	0.077
3026.5	0.054
3026.625	0.067
3026.75	0.107
3026.875	0.161
3027	0.233
3027.125	0.32
3027.25	0.367
3027.375	0.383
3027.5	0.387
3027.625	0.389
3027.75	0.407
3027.875	0.432
3028	0.441
3028.125	0.43
3028.25	0.416
3028.375	0.41
3028.5	0.417
3028.625	0.43
3028.75	0.452
3028.875	0.477
3029	0.49
3029.125	0.497
3029.25	0.503
3029.375	0.504
3029.5	0.503
3029.625	0.498
3029.75	0.49
3029.875	0.469
3030	0.445
3030.125	0.43
3030.25	0.424
3030.375	0.426
3030.5	0.424
3030.625	0.423
3030.75	0.429
3030.875	0.441
3031	0.442
3031.125	0.425
3031.25	0.397
3031.375	0.37
3031.5	0.362
3031.625	0.358
3031.75	0.35
3031.875	0.332
3032	0.311
3032.125	0.299
3032.25	0.287
3032.375	0.272
3032.5	0.266
3032.625	0.291
3032.75	0.355
3032.875	0.415
3033	0.451
3033.125	0.469
3033.25	0.471
3033.375	0.493
3033.5	0.528
3033.625	0.568
3033.75	0.598
3033.875	0.604
3034	0.605
3034.125	0.605
3034.25	0.602
3034.375	0.591
3034.5	0.572
3034.625	0.559
3034.75	0.549
3034.875	0.54
3035	0.538
3035.125	0.544
3035.25	0.553
3035.375	0.565
3035.5	0.581
3035.625	0.592
3035.75	0.595
3035.875	0.588
3036	0.579
3036.125	0.573
3036.25	0.569
3036.375	0.56
3036.5	0.541
3036.625	0.526
3036.75	0.521
3036.875	0.52
3037	0.516
3037.125	0.497
3037.25	0.459
3037.375	0.421
3037.5	0.382
3037.625	0.339
3037.75	0.319
3037.875	0.31
3038	0.303
3038.125	0.288
3038.25	0.258
3038.375	0.232
3038.5	0.222
3038.625	0.228
3038.75	0.238
3038.875	0.24
3039	0.246
3039.125	0.263
3039.25	0.326
3039.375	0.411
3039.5	0.514
3039.625	0.623
3039.75	0.671
3039.875	0.668
3040	0.638
3040.125	0.606
3040.25	0.585
3040.375	0.567
3040.5	0.56
3040.625	0.558
3040.75	0.551
3040.875	0.54
3041	0.519
3041.125	0.498
3041.25	0.488
3041.375	0.494
3041.5	0.51
3041.625	0.533
3041.75	0.558
3041.875	0.57
3042	0.569
3042.125	0.557
3042.25	0.545
3042.375	0.533
3042.5	0.521
3042.625	0.517
3042.75	0.527
3042.875	0.542
3043	0.554
3043.125	0.559
3043.25	0.557
3043.375	0.563
3043.5	0.577
3043.625	0.587
3043.75	0.591
3043.875	0.597
3044	0.604
3044.125	0.614
3044.25	0.621
3044.375	0.613
3044.5	0.579
3044.625	0.534
3044.75	0.469
3044.875	0.379
3045	0.317
3045.125	0.278
3045.25	0.251
3045.375	0.247
3045.5	0.27
3045.625	0.336
3045.75	0.407
3045.875	0.475
3046	0.529
3046.125	0.547
3046.25	0.551
3046.375	0.545
3046.5	0.547
3046.625	0.561
3046.75	0.574
3046.875	0.575
3047	0.575
3047.125	0.584
3047.25	0.612
3047.375	0.639
3047.5	0.646
3047.625	0.637
3047.75	0.622
3047.875	0.609
3048	0.596
3048.125	0.586
3048.25	0.566
3048.375	0.542
3048.5	0.536
3048.625	0.545
3048.75	0.553
3048.875	0.552
3049	0.555
3049.125	0.56
3049.25	0.557
3049.375	0.547
3049.5	0.544
3049.625	0.554
3049.75	0.568
3049.875	0.572
3050	0.564
3050.125	0.548
3050.25	0.539
3050.375	0.537
3050.5	0.537
3050.625	0.536
3050.75	0.53
3050.875	0.52
3051	0.508
3051.125	0.511
3051.25	0.53
3051.375	0.555
3051.5	0.569
3051.625	0.564
3051.75	0.55
3051.875	0.53
3052	0.516
3052.125	0.506
3052.25	0.502
3052.375	0.51
3052.5	0.52
3052.625	0.519
3052.75	0.498
3052.875	0.47
3053	0.462
3053.125	0.485
3053.25	0.528
3053.375	0.556
3053.5	0.568
3053.625	0.574
3053.75	0.579
3053.875	0.587
3054	0.594
3054.125	0.602
3054.25	0.605
3054.375	0.6
3054.5	0.595
3054.625	0.592
3054.75	0.59
3054.875	0.581
3055	0.566
3055.125	0.55
3055.25	0.525
3055.375	0.499
3055.5	0.488
3055.625	0.49
3055.75	0.498
3055.875	0.5
3056	0.495
3056.125	0.487
3056.25	0.472
3056.375	0.448
3056.5	0.432
3056.625	0.435
3056.75	0.455
3056.875	0.473
3057	0.482
3057.125	0.482
3057.25	0.472
3057.375	0.461
3057.5	0.463
3057.625	0.486
3057.75	0.524
3057.875	0.547
3058	0.555
3058.125	0.561
3058.25	0.566
3058.375	0.571
3058.5	0.572
3058.625	0.574
3058.75	0.583
3058.875	0.592
3059	0.59
3059.125	0.568
3059.25	0.538
3059.375	0.507
3059.5	0.479
3059.625	0.474
3059.75	0.484
3059.875	0.504
3060	0.519
3060.125	0.525
3060.25	0.525
3060.375	0.509
3060.5	0.478
3060.625	0.453
3060.75	0.436
3060.875	0.415
3061	0.397
3061.125	0.37
3061.25	0.325
3061.375	0.284
3061.5	0.247
3061.625	0.217
3061.75	0.198
3061.875	0.174
3062	0.154
3062.125	0.141
3062.25	0.135
3062.375	0.139
3062.5	0.144
3062.625	0.143
3062.75	0.133
3062.875	0.111
3063	0.085
3063.125	0.075
3063.25	0.078
3063.375	0.082
3063.5	0.089
3063.625	0.095
3063.75	0.095
3063.875	0.082
3064	0.054
3064.125	0.029
3064.25	0.013
3064.375	0.002
3064.5	0
3064.625	0.004
3064.75	0.014
3064.875	0.031
3065	0.052
3065.125	0.062
3065.25	0.069
3065.375	0.082
3065.5	0.094
3065.625	0.107
3065.75	0.115
3065.875	0.109
3066	0.094
3066.125	0.075
3066.25	0.066
3066.375	0.068
3066.5	0.073
3066.625	0.081
3066.75	0.084
3066.875	0.076
3067	0.064
3067.125	0.059
3067.25	0.065
3067.375	0.08
3067.5	0.113
3067.625	0.148
3067.75	0.174
3067.875	0.172
3068	0.145
3068.125	0.117
3068.25	0.099
3068.375	0.1
3068.5	0.102
3068.625	0.1
3068.75	0.091
3068.875	0.075
3069	0.059
3069.125	0.044
3069.25	0.041
3069.375	0.056
3069.5	0.084
3069.625	0.111
3069.75	0.134
3069.875	0.161
3070	0.177
3070.125	0.174
3070.25	0.149
3070.375	0.117
3070.5	0.082
3070.625	0.051
3070.75	0.043
3070.875	0.052
3071	0.076
3071.125	0.1
3071.25	0.129
3071.375	0.157
3071.5	0.189
3071.625	0.25
3071.75	0.308
3071.875	0.356
3072	0.39
3072.125	0.393
3072.25	0.382
3072.375	0.377
3072.5	0.388
3072.625	0.416
3072.75	0.442
3072.875	0.442
3073	0.415
3073.125	0.384
3073.25	0.365
3073.375	0.365
3073.5	0.381
3073.625	0.425
3073.75	0.515
3073.875	0.597
3074	0.638
3074.125	0.616
3074.25	0.555
3074.375	0.502
3074.5	0.472
3074.625	0.494
3074.75	0.543
3074.875	0.575
3075	0.564
3075.125	0.513
3075.25	0.46
3075.375	0.408
3075.5	0.345
3075.625	0.308
3075.75	0.304
3075.875	0.319
3076	0.356
3076.125	0.396
3076.25	0.411
3076.375	0.403
3076.5	0.387
3076.625	0.377
3076.75	0.376
3076.875	0.38
3077	0.387
3077.125	0.396
3077.25	0.405
3077.375	0.403
3077.5	0.386
3077.625	0.362
3077.75	0.343
3077.875	0.341
3078	0.364
3078.125	0.427
3078.25	0.531
3078.375	0.607
3078.5	0.655
3078.625	0.7
3078.75	0.73
3078.875	0.757
3079	0.793
3079.125	0.82
3079.25	0.82
3079.375	0.785
3079.5	0.676
3079.625	0.522
3079.75	0.43
3079.875	0.401
3080	0.415
3080.125	0.464
3080.25	0.557
3080.375	0.681
3080.5	0.752
3080.625	0.766
3080.75	0.757
3080.875	0.725
3081	0.686
3081.125	0.662
3081.25	0.642
3081.375	0.611
3081.5	0.584
3081.625	0.56
3081.75	0.538
3081.875	0.532
3082	0.538
3082.125	0.549
3082.25	0.556
3082.375	0.556
3082.5	0.554
3082.625	0.552
3082.75	0.543
3082.875	0.529
3083	0.517
3083.125	0.516
3083.25	0.525
3083.375	0.531
3083.5	0.536
3083.625	0.54
3083.75	0.548
3083.875	0.553
3084	0.539
3084.125	0.512
3084.25	0.5
3084.375	0.513
3084.5	0.546
3084.625	0.577
3084.75	0.603
3084.875	0.614
3085	0.598
3085.125	0.566
3085.25	0.531
3085.375	0.514
3085.5	0.505
3085.625	0.498
3085.75	0.49
3085.875	0.481
3086	0.475
3086.125	0.476
3086.25	0.483
3086.375	0.489
3086.5	0.487
3086.625	0.487
3086.75	0.492
3086.875	0.498
3087	0.496
3087.125	0.476
3087.25	0.444
3087.375	0.424
3087.5	0.424
3087.625	0.441
3087.75	0.463
3087.875	0.485
3088	0.51
3088.125	0.527
3088.25	0.542
3088.375	0.56
3088.5	0.573
3088.625	0.588
3088.75	0.602
3088.875	0.615
3089	0.627
3089.125	0.632
3089.25	0.632
3089.375	0.628
3089.5	0.623
3089.625	0.611
3089.75	0.593
3089.875	0.585
3090	0.59
3090.125	0.596
3090.25	0.594
3090.375	0.581
3090.5	0.566
3090.625	0.551
3090.75	0.533
3090.875	0.518
3091	0.502
3091.125	0.481
3091.25	0.464
3091.375	0.444
3091.5	0.429
3091.625	0.432
3091.75	0.456
3091.875	0.484
3092	0.505
3092.125	0.523
3092.25	0.53
3092.375	0.529
3092.5	0.525
3092.625	0.521
3092.75	0.526
3092.875	0.536
3093	0.542
3093.125	0.541
3093.25	0.545
3093.375	0.554
3093.5	0.571
3093.625	0.584
3093.75	0.577
3093.875	0.554
3094	0.533
3094.125	0.506
3094.25	0.47
3094.375	0.45
3094.5	0.457
3094.625	0.492
3094.75	0.526
3094.875	0.55
3095	0.564
3095.125	0.568
3095.25	0.57
3095.375	0.571
3095.5	0.568
3095.625	0.558
3095.75	0.548
3095.875	0.535
3096	0.503
3096.125	0.462
3096.25	0.412
3096.375	0.375
3096.5	0.377
3096.625	0.404
3096.75	0.433
3096.875	0.457
3097	0.477
3097.125	0.477
3097.25	0.453
3097.375	0.416
3097.5	0.392
3097.625	0.379
3097.75	0.382
3097.875	0.406
3098	0.459
3098.125	0.518
3098.25	0.567
3098.375	0.613
3098.5	0.629
3098.625	0.621
3098.75	0.604
3098.875	0.595
3099	0.591
3099.125	0.573
3099.25	0.543
3099.375	0.5
3099.5	0.462
3099.625	0.463
3099.75	0.514
3099.875	0.577
3100	0.625
3100.125	0.653
3100.25	0.651
3100.375	0.631
3100.5	0.6
3100.625	0.579
3100.75	0.562
3100.875	0.537
3101	0.516
3101.125	0.503
3101.25	0.494
3101.375	0.483
3101.5	0.457
3101.625	0.433
3101.75	0.425
3101.875	0.433
3102	0.445
3102.125	0.442
3102.25	0.438
3102.375	0.448
3102.5	0.495
3102.625	0.567
3102.75	0.611
3102.875	0.616
3103	0.608
3103.125	0.604
3103.25	0.619
3103.375	0.637
3103.5	0.63
3103.625	0.598
3103.75	0.566
3103.875	0.549
3104	0.545
3104.125	0.553
3104.25	0.567
3104.375	0.585
3104.5	0.592
3104.625	0.58
3104.75	0.561
3104.875	0.547
3105	0.548
3105.125	0.56
3105.25	0.567
3105.375	0.567
3105.5	0.564
3105.625	0.565
3105.75	0.573
3105.875	0.583
3106	0.593
