_GR	_RT	_AC	_CAL	_DEN	_CNL	_RXO
101.684	30.714	65.655	9.571	2.545	11.332	27.175
100.608	30.935	65.688	9.56	2.544	11.251	27.24
99.384	31.313	65.641	9.548	2.544	11.226	27.467
98.965	31.895	65.352	9.541	2.542	11.34	27.913
99.229	32.809	64.95	9.538	2.541	11.472	28.65
99.729	33.564	64.761	9.541	2.54	11.486	29.273
100	34.161	64.765	9.548	2.542	11.369	29.762
100.621	34.373	64.994	9.559	2.547	11.22	29.906
101.739	33.948	65.523	9.568	2.552	11.197	29.515
103.761	32.836	65.982	9.574	2.557	11.39	28.562
105.53	31.312	66.047	9.574	2.561	11.675	27.287
105.162	30.48	65.951	9.568	2.563	11.838	26.61
102.36	30.671	65.606	9.558	2.564	11.94	26.802
99.628	31.444	64.745	9.55	2.564	12.026	27.482
99.039	33.096	63.706	9.547	2.562	11.965	28.899
99.092	35.435	62.88	9.547	2.56	11.658	30.905
98.635	36.941	62.646	9.55	2.558	11.319	32.211
96.484	37.637	62.716	9.552	2.555	11.085	32.86
93.834	37.817	63.106	9.552	2.549	11	33.093
92.986	37.439	63.999	9.551	2.543	11.115	32.82
94.397	36.433	64.886	9.559	2.536	11.308	31.979
97.097	34.641	65.475	9.574	2.53	11.304	30.495
98.701	33.163	65.678	9.583	2.527	11.06	29.311
98.53	32.156	65.747	9.578	2.527	10.855	28.602
97.717	31.593	65.818	9.564	2.528	11.034	28.327
97.099	31.71	65.793	9.553	2.527	11.46	28.55
96.58	32.174	65.738	9.549	2.523	11.737	28.995
95.972	32.669	65.707	9.547	2.519	11.805	29.433
95.618	32.986	65.705	9.55	2.515	11.643	29.674
96.638	32.994	65.745	9.557	2.513	11.473	29.627
98.463	32.629	65.829	9.565	2.514	11.347	29.277
99.49	31.85	65.826	9.575	2.515	11.036	28.598
98.079	30.781	65.601	9.585	2.515	10.598	27.676
95.151	30.153	65.42	9.588	2.512	10.382	27.132
93.056	30.014	65.201	9.583	2.509	10.489	26.985
93.893	30.052	64.852	9.577	2.506	10.763	26.953
97.088	30.043	64.761	9.576	2.507	10.935	26.868
100.45	29.65	64.973	9.581	2.512	10.882	26.409
101.8	28.875	65.365	9.59	2.521	10.698	25.564
100.145	28.299	65.585	9.597	2.526	10.579	24.942
97.163	28.451	65.738	9.599	2.528	10.679	24.994
94.83	29.311	65.821	9.598	2.528	10.882	25.671
95.409	31.855	65.276	9.586	2.526	11.138	27.8
97.785	36.254	63.913	9.566	2.524	11.278	31.48
99.446	39.697	63.017	9.552	2.525	11.16	34.339
99.266	41.805	62.068	9.546	2.531	10.811	36.022
98.505	42.64	60.612	9.543	2.543	10.3	36.586
98.224	41.864	60.355	9.543	2.554	9.94	35.843
98.447	40.017	61.383	9.548	2.565	9.708	34.245
98.53	37.247	63.016	9.56	2.578	9.55	31.882
98.351	35.165	63.867	9.572	2.583	9.505	30.12
97.928	33.505	64.408	9.579	2.581	9.361	28.736
97.434	32.157	65.177	9.582	2.576	9.137	27.632
97.023	31.309	65.458	9.578	2.568	8.992	26.986
96.985	30.254	65.536	9.572	2.559	9.224	26.217
97.645	29.466	65.544	9.569	2.556	9.735	25.649
99.706	28.936	65.533	9.563	2.556	10.376	25.278
103.02	28.66	65.487	9.55	2.556	11.045	25.125
105.034	28.723	65.373	9.539	2.556	11.387	25.229
104.327	28.864	65.244	9.536	2.556	11.618	25.392
100.829	28.96	65.171	9.539	2.557	11.742	25.521
97.141	28.949	65.156	9.542	2.559	11.666	25.539
94.797	28.875	65.204	9.533	2.561	11.44	25.486
94.178	28.782	65.363	9.516	2.562	11.089	25.406
95.3	28.746	65.628	9.506	2.561	10.848	25.368
96.618	28.798	65.949	9.516	2.556	10.841	25.41
97.491	28.888	66.241	9.533	2.55	10.994	25.485
97.843	28.982	66.367	9.543	2.543	11.303	25.549
98.493	29.003	66.408	9.542	2.535	11.571	25.513
99.007	28.919	66.394	9.534	2.532	11.655	25.382
98.815	28.77	66.225	9.528	2.531	11.784	25.206
97.417	28.637	66.005	9.527	2.53	12.017	25.071
